Team,Game ID,Win/Lose,Player_1,Player_2,Player_3,Player_4,Player_5,Role_1,Role_2,Role_3,Role_4,Role_5,Level_1,Level_2,Level_3,Level_4,Level_5,Kills_1,Kills_2,Kills_3,Kills_4,Kills_5,Deaths_1,Deaths_2,Deaths_3,Deaths_4,Deaths_5,Assists_1,Assists_2,Assists_3,Assists_4,Assists_5,KDA_1,KDA_2,KDA_3,KDA_4,KDA_5,CS_1,CS_2,CS_3,CS_4,CS_5,CS in Team's Jungle_1,CS in Team's Jungle_2,CS in Team's Jungle_3,CS in Team's Jungle_4,CS in Team's Jungle_5,CS in Enemy Jungle_1,CS in Enemy Jungle_2,CS in Enemy Jungle_3,CS in Enemy Jungle_4,CS in Enemy Jungle_5,CSM_1,CSM_2,CSM_3,CSM_4,CSM_5,Golds_1,Golds_2,Golds_3,Golds_4,Golds_5,GPM_1,GPM_2,GPM_3,GPM_4,GPM_5,GOLD%_1,GOLD%_2,GOLD%_3,GOLD%_4,GOLD%_5,Vision Score_1,Vision Score_2,Vision Score_3,Vision Score_4,Vision Score_5,Wards placed_1,Wards placed_2,Wards placed_3,Wards placed_4,Wards placed_5,Wards destroyed_1,Wards destroyed_2,Wards destroyed_3,Wards destroyed_4,Wards destroyed_5,Control Wards Purchased_1,Control Wards Purchased_2,Control Wards Purchased_3,Control Wards Purchased_4,Control Wards Purchased_5,Detector Wards Placed_1,Detector Wards Placed_2,Detector Wards Placed_3,Detector Wards Placed_4,Detector Wards Placed_5,VSPM_1,VSPM_2,VSPM_3,VSPM_4,VSPM_5,WPM_1,WPM_2,WPM_3,WPM_4,WPM_5,VWPM_1,VWPM_2,VWPM_3,VWPM_4,VWPM_5,WCPM_1,WCPM_2,WCPM_3,WCPM_4,WCPM_5,VS%_1,VS%_2,VS%_3,VS%_4,VS%_5,Total damage to Champion_1,Total damage to Champion_2,Total damage to Champion_3,Total damage to Champion_4,Total damage to Champion_5,Physical Damage_1,Physical Damage_2,Physical Damage_3,Physical Damage_4,Physical Damage_5,Magic Damage_1,Magic Damage_2,Magic Damage_3,Magic Damage_4,Magic Damage_5,True Damage_1,True Damage_2,True Damage_3,True Damage_4,True Damage_5,DPM_1,DPM_2,DPM_3,DPM_4,DPM_5,DMG%_1,DMG%_2,DMG%_3,DMG%_4,DMG%_5,K+A Per Minute_1,K+A Per Minute_2,K+A Per Minute_3,K+A Per Minute_4,K+A Per Minute_5,KP%_1,KP%_2,KP%_3,KP%_4,KP%_5,Solo kills_1,Solo kills_2,Solo kills_3,Solo kills_4,Solo kills_5,Double kills_1,Double kills_2,Double kills_3,Double kills_4,Double kills_5,Triple kills_1,Triple kills_2,Triple kills_3,Triple kills_4,Triple kills_5,Quadra kills_1,Quadra kills_2,Quadra kills_3,Quadra kills_4,Quadra kills_5,Penta kills_1,Penta kills_2,Penta kills_3,Penta kills_4,Penta kills_5,GD@15_1,GD@15_2,GD@15_3,GD@15_4,GD@15_5,CSD@15_1,CSD@15_2,CSD@15_3,CSD@15_4,CSD@15_5,XPD@15_1,XPD@15_2,XPD@15_3,XPD@15_4,XPD@15_5,LVLD@15_1,LVLD@15_2,LVLD@15_3,LVLD@15_4,LVLD@15_5,Objectives Stolen_1,Objectives Stolen_2,Objectives Stolen_3,Objectives Stolen_4,Objectives Stolen_5,Damage dealt to turrets_1,Damage dealt to turrets_2,Damage dealt to turrets_3,Damage dealt to turrets_4,Damage dealt to turrets_5,Damage dealt to buildings_1,Damage dealt to buildings_2,Damage dealt to buildings_3,Damage dealt to buildings_4,Damage dealt to buildings_5,Total heal_1,Total heal_2,Total heal_3,Total heal_4,Total heal_5,Total Heals On Teammates_1,Total Heals On Teammates_2,Total Heals On Teammates_3,Total Heals On Teammates_4,Total Heals On Teammates_5,Damage self mitigated_1,Damage self mitigated_2,Damage self mitigated_3,Damage self mitigated_4,Damage self mitigated_5,Total Damage Shielded On Teammates_1,Total Damage Shielded On Teammates_2,Total Damage Shielded On Teammates_3,Total Damage Shielded On Teammates_4,Total Damage Shielded On Teammates_5,Time ccing others_1,Time ccing others_2,Time ccing others_3,Time ccing others_4,Time ccing others_5,Total Time CC Dealt_1,Total Time CC Dealt_2,Total Time CC Dealt_3,Total Time CC Dealt_4,Total Time CC Dealt_5,Total damage taken_1,Total damage taken_2,Total damage taken_3,Total damage taken_4,Total damage taken_5,Total Time Spent Dead_1,Total Time Spent Dead_2,Total Time Spent Dead_3,Total Time Spent Dead_4,Total Time Spent Dead_5,Consumables purchased_1,Consumables purchased_2,Consumables purchased_3,Consumables purchased_4,Consumables purchased_5,Items Purchased_1,Items Purchased_2,Items Purchased_3,Items Purchased_4,Items Purchased_5,Shutdown bounty collected_1,Shutdown bounty collected_2,Shutdown bounty collected_3,Shutdown bounty collected_4,Shutdown bounty collected_5,Shutdown bounty lost_1,Shutdown bounty lost_2,Shutdown bounty lost_3,Shutdown bounty lost_4,Shutdown bounty lost_5
Gen.G eSports,44359,WIN,Doran,Peanut,Chovy,Ruler,Lehends,TOP,JUNGLE,MID,ADC,SUPPORT,18,17,18,18,15,5,6,7,6,1,2,2,0,3,3,10,14,11,8,18,7.5,10,Perfect KDA,4.7,6.3,299,232,385,363,29,12,185,32,45,0,,,,,,7.6,5.9,9.8,9.2,0.7,15681,14931,18046,17505,9592,399,380,459,445,244,20.7%,19.7%,23.8%,23.1%,12.7%,52,65,55,80,105,17,13,7,18,66,14,22,22,32,16,13,14,4,5,22,13,12,4,5,21,1.32,1.65,1.4,2.03,2.67,0.43,0.33,0.18,0.46,1.68,0.33,0.36,0.1,0.13,0.56,0.36,0.56,0.56,0.81,0.41,14.6%,18.2%,15.4%,22.4%,29.4%,31901,22930,30089,28141,18223,15514,18521,1223,25433,734,14329,3431,21110,1564,16768,2058,978,7756,1144,721,811,583,765,715,463,24.3%,17.5%,22.9%,21.4%,13.9%,0.38,0.51,0.46,0.36,0.48,60%,80%,72%,56%,76%,,,,,,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-498,776,440,701,434,-8,11,5,1,-12,-361,-85,111,-441,507,-1,0,0,-1,0,0,0,0,0,0,3532,2161,6476,5778,446,3532,2161,6476,5778,446,7053,26987,7830,2514,31,0,0,318,189,0,79344,40203,14836,6785,5648,0,0,0,0,4533,47,23,25,17,41,2033,260,169,121,213,38142,39871,18769,14311,10496,86,57,0,99,116,16,15,9,7,24,38,38,27,29,36,,,,,,,,,,
DRX,44360,WIN,kingen,Pyosik,Zeka,Deft,BeryL,TOP,JUNGLE,MID,ADC,SUPPORT,14,13,14,14,10,3,1,10,1,0,1,1,1,1,2,6,10,2,5,5,9,11,12,6,2.5,169,132,218,245,38,12,105,16,16,0,,,,,,7.2,5.6,9.3,10.5,1.6,8835,8848,12400,10862,6039,377,378,529,464,258,18.8%,18.8%,26.4%,23.1%,12.9%,14,72,26,19,55,9,25,5,11,32,4,18,4,5,15,6,6,6,4,14,6,6,3,4,12,0.6,3.07,1.11,0.81,2.35,0.38,1.07,0.21,0.47,1.37,0.26,0.26,0.26,0.17,0.6,0.17,0.77,0.17,0.21,0.64,7.5%,38.7%,14%,10.2%,29.6%,10576,5394,12447,7725,3116,4072,3501,266,5577,144,6504,1260,11732,1320,2534,0,633,449,828,438,451,230,531,330,133,26.9%,13.7%,31.7%,19.7%,7.9%,0.38,0.47,0.51,0.26,0.21,60%,73.3%,80%,40%,33.3%,1,,2,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,798,201,749,1441,359,-5,-16,4,35,3,331,-332,158,1062,173,0,0,0,1,0,0,0,0,0,0,1560,4247,2314,10348,625,1560,4247,2314,10348,625,239,8573,1946,2249,511,0,1260,0,186,147,17572,5958,9464,4068,7729,0,0,0,0,0,28,1,18,1,13,942,59,337,29,55,11793,13423,13107,7821,6842,42,33,14,35,62,7,6,7,5,16,28,20,25,17,29,,,,,,,,,,
T1,44362,WIN,Zeus,Oner,Faker,Gumayusi,Keria,TOP,JUNGLE,MID,ADC,SUPPORT,17,14,15,15,14,2,1,6,4,2,3,1,3,0,0,3,10,1,6,8,1.7,11,2.3,Perfect KDA,Perfect KDA,266,145,182,294,8,25,114,23,41,4,,,,,,9.1,5,6.3,10.1,0.3,12787,10136,11385,14415,8515,439,348,391,495,293,22.3%,17.7%,19.9%,25.2%,14.9%,36,36,30,31,62,13,12,10,12,40,4,6,11,6,1,7,11,6,5,9,7,11,6,4,9,1.24,1.24,1.03,1.07,2.13,0.45,0.41,0.34,0.41,1.37,0.24,0.38,0.21,0.17,0.31,0.14,0.21,0.38,0.21,0.03,18.5%,18.5%,15.4%,15.9%,31.8%,19975,8731,13565,20917,18764,13337,4246,608,18991,688,4830,4284,12957,0,16804,1808,201,0,1926,1272,686,300,466,719,645,24.4%,10.7%,16.6%,25.5%,22.9%,0.17,0.38,0.24,0.34,0.34,33.3%,73.3%,46.7%,66.7%,66.7%,1,,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,-106,-1040,1176,630,22,-12,-38,0,-2,758,-388,-1533,-726,1215,0,-1,-1,-1,1,0,0,0,0,0,3004,1557,2995,10831,2579,3004,1557,2995,10831,2579,530,8247,5836,3862,8731,0,682,0,908,6573,22769,25274,13256,6120,5007,0,0,0,0,1941,27,22,28,2,23,133,398,324,52,55,18252,22106,23450,13575,6596,85,16,53,0,0,8,11,8,6,12,30,30,24,22,26,,,,,,,,,,
T1,44365,WIN,Zeus,Oner,Faker,Gumayusi,Keria,TOP,JUNGLE,MID,ADC,SUPPORT,14,12,13,13,12,3,2,1,10,0,5,0,3,0,0,5,8,5,3,15,1.6,Perfect KDA,2,Perfect KDA,Perfect KDA,189,129,156,230,5,20,101,4,14,0,,,,,,8.1,5.5,6.7,9.9,0.2,10313,9021,8476,14112,6792,442,387,364,605,291,21.2%,18.5%,17.4%,29%,13.9%,17,30,14,21,47,11,9,7,8,30,0,3,3,6,2,4,7,2,1,12,4,7,1,0,11,0.73,1.29,0.6,0.9,2.02,0.47,0.39,0.3,0.34,1.29,0.17,0.3,0.09,0.04,0.51,0,0.13,0.13,0.26,0.09,13.2%,23.3%,10.9%,16.3%,36.4%,18814,9506,10029,17437,4315,16838,4964,203,10280,604,1976,4054,9814,5399,3711,0,488,12,1758,0,807,408,430,748,185,31.3%,15.8%,16.7%,29%,7.2%,0.34,0.43,0.26,0.56,0.64,50%,62.5%,37.5%,81.3%,93.8%,,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,708,-767,3894,974,23,-10,-4,61,-6,738,359,-597,635,1105,0,0,0,1,1,0,0,0,0,0,7706,1052,1144,5787,1827,7706,1052,1144,5787,1827,2880,6682,4225,379,4773,0,549,0,0,3924,10325,16599,9461,3826,2107,0,0,0,0,931,5,21,9,2,17,117,512,281,49,161,14012,18303,19586,8105,5044,116,0,72,0,0,5,7,4,4,14,22,20,17,19,27,,,,,,,,,,
T1,44366,WIN,Zeus,Oner,Faker,Gumayusi,Keria,TOP,JUNGLE,MID,ADC,SUPPORT,17,13,16,15,13,10,2,6,6,0,2,2,3,0,1,4,10,15,9,20,7,6,7,Perfect KDA,20,266,137,208,283,25,24,114,12,30,0,,,,,,9.4,4.9,7.4,10,0.9,16090,9050,12638,14035,7698,570,321,448,497,273,27%,15.2%,21.2%,23.6%,12.9%,28,36,31,50,66,10,13,18,14,45,6,11,4,19,8,4,11,9,6,14,4,11,9,6,13,0.99,1.28,1.1,1.77,2.34,0.35,0.46,0.64,0.5,1.59,0.14,0.39,0.32,0.21,0.5,0.21,0.39,0.14,0.67,0.28,13.3%,17.1%,14.7%,23.7%,31.3%,28891,9052,30137,14050,5269,20214,4321,355,11498,777,5239,4087,29026,2380,4492,3438,644,756,172,0,1023,321,1067,498,187,33.1%,10.4%,34.5%,16.1%,6%,0.5,0.43,0.74,0.53,0.71,58.3%,50%,87.5%,62.5%,83.3%,2,,1,,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2077,-1596,369,-30,-299,39,-14,3,19,-15,1889,-690,12,386,72,1,-1,0,0,0,0,0,0,0,0,16663,363,3797,4718,1157,16663,363,3797,4718,1157,7001,8469,1938,1568,18420,0,448,0,0,11861,18194,24174,15233,7242,7355,0,0,0,0,1501,12,20,28,7,33,231,558,234,335,230,27598,24229,12895,11485,9879,27,87,94,0,36,4,11,11,9,16,24,27,23,30,31,,,,,,,,,,
DWG KIA,44369,WIN,Nuguri,Canyon,ShowMaker,deokdam,Kellin,TOP,JUNGLE,MID,ADC,SUPPORT,15,14,14,13,12,3,6,3,5,1,1,1,0,0,0,5,4,6,7,12,8,10,Perfect KDA,Perfect KDA,Perfect KDA,197,161,185,228,6,14,126,16,12,0,,,,,,7.8,6.3,7.3,9,0.2,10840,10726,10301,12516,7520,427,423,406,493,296,20.9%,20.7%,19.8%,24.1%,14.5%,23,45,57,23,60,7,10,26,9,30,5,10,14,3,4,5,16,9,2,9,5,8,9,1,8,0.91,1.77,2.25,0.91,2.36,0.28,0.39,1.02,0.35,1.18,0.2,0.63,0.35,0.08,0.35,0.2,0.39,0.55,0.12,0.16,11.1%,21.6%,27.4%,11.1%,28.8%,16868,9764,17358,21133,6203,8787,7960,1301,13290,387,7369,1208,15871,6756,5816,712,596,186,1087,0,665,385,684,833,244,23.6%,13.7%,24.3%,29.6%,8.7%,0.32,0.39,0.35,0.47,0.51,44.4%,55.6%,50%,66.7%,72.2%,2,1,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-191,477,416,1278,588,-11,11,8,25,-10,676,447,522,529,199,1,0,1,1,0,0,0,0,0,0,8047,2952,1705,7763,2693,8047,2952,1705,7763,2693,2755,14041,2257,630,8280,0,575,0,0,7235,23440,17699,5675,4910,1456,0,537,0,0,1051,31,9,10,1,23,938,197,51,35,161,18216,24281,10766,8896,3080,21,36,0,0,0,6,8,11,5,11,20,24,22,17,24,,,,,,,,,,
DWG KIA,44371,WIN,Nuguri,Canyon,ShowMaker,deokdam,Kellin,TOP,JUNGLE,MID,ADC,SUPPORT,16,14,16,14,13,2,2,5,9,3,1,2,1,4,0,2,10,6,4,14,4,6,11,3.3,Perfect KDA,270,132,266,220,17,39,113,34,20,0,,,,,,9.6,4.7,9.5,7.8,0.6,12462,9872,13034,15148,8858,443,351,464,539,315,21%,16.6%,22%,25.5%,14.9%,24,49,27,22,71,10,15,12,9,49,2,13,6,4,5,7,15,10,2,12,5,13,10,0,14,0.85,1.74,0.96,0.78,2.53,0.36,0.53,0.43,0.32,1.74,0.25,0.53,0.36,0.07,0.43,0.07,0.46,0.21,0.14,0.18,12.4%,25.4%,14%,11.4%,36.8%,15410,10919,26311,20599,6567,15148,5634,92,18095,1072,72,4571,26073,391,4200,190,714,146,2113,1295,548,388,936,733,234,19.3%,13.7%,33%,25.8%,8.2%,0.14,0.43,0.39,0.46,0.6,19%,57.1%,52.4%,61.9%,81%,,,1,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,537,629,-441,468,38,-9,8,-22,7,534,176,393,198,-40,0,1,1,0,0,0,1,0,0,0,8298,1098,4539,6979,680,8298,1098,4539,6979,680,7817,7269,7412,915,2096,0,0,0,0,0,17898,25170,15878,9753,8993,0,0,0,0,3181,18,24,27,5,18,179,277,435,47,240,16731,27714,18970,16875,11850,48,73,38,70,0,8,15,12,8,17,28,30,29,26,29,,,,,,,,,,
DWG KIA,44372,WIN,Nuguri,Canyon,ShowMaker,deokdam,Kellin,TOP,JUNGLE,MID,ADC,SUPPORT,15,16,17,14,13,1,11,1,7,1,3,0,0,2,1,9,3,11,8,16,3.3,Perfect KDA,Perfect KDA,7.5,17,188,249,273,209,7,12,169,16,19,0,,,,,,6.4,8.5,9.4,7.2,0.2,9999,16157,12974,12781,7951,343,554,445,438,272,16.7%,27%,21.7%,21.4%,13.3%,36,83,33,21,77,14,28,18,11,55,6,21,6,4,6,10,7,8,3,17,10,6,8,2,17,1.23,2.84,1.13,0.72,2.64,0.48,0.96,0.62,0.38,1.88,0.34,0.24,0.27,0.1,0.58,0.21,0.72,0.21,0.14,0.21,14.4%,33.2%,13.2%,8.4%,30.8%,16311,20682,21708,19582,5925,633,17891,1859,17391,781,15678,1471,19747,1897,4322,0,1320,102,294,822,559,709,744,671,203,19.4%,24.6%,25.8%,23.3%,7%,0.34,0.48,0.41,0.51,0.58,47.6%,66.7%,57.1%,71.4%,81%,1,,1,,,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1022,2226,414,489,898,-9,42,8,-14,-4,-332,1430,349,410,44,-1,1,1,1,0,0,0,0,0,0,686,6421,5997,9298,607,686,6421,5997,9298,607,11108,14188,3899,1579,1560,0,0,0,136,888,16295,24603,11438,12530,6078,0,0,0,0,4246,32,17,23,10,27,388,842,125,108,191,25871,20410,17005,14150,8616,113,0,0,40,37,12,9,11,7,19,31,29,29,23,33,,,,,,,,,,
DRX,44375,WIN,kingen,Pyosik,Zeka,Deft,BeryL,TOP,JUNGLE,MID,ADC,SUPPORT,17,15,18,16,13,3,2,7,5,3,1,1,0,2,0,7,8,5,4,7,10,10,Perfect KDA,4.5,Perfect KDA,266,188,323,292,27,32,157,25,18,0,,,,,,8.8,6.2,10.7,9.7,0.9,13416,10917,16093,14096,9179,444,361,532,466,303,21.1%,17.1%,25.3%,22.1%,14.4%,22,62,37,42,83,7,14,6,13,41,3,16,10,4,11,3,13,4,5,11,3,12,4,4,11,0.73,2.05,1.22,1.39,2.74,0.23,0.46,0.2,0.43,1.36,0.1,0.43,0.13,0.17,0.36,0.1,0.53,0.33,0.13,0.36,8.9%,25.2%,15%,17.1%,33.7%,13651,8270,14515,14133,14524,13651,7099,498,11330,709,0,699,13852,2663,13357,0,472,165,140,458,451,273,480,467,480,21%,12.7%,22.3%,21.7%,22.3%,0.33,0.33,0.4,0.3,0.33,50%,50%,60%,45%,50%,,,1,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,1247,877,700,1443,16,22,-10,24,2,549,731,162,835,1264,1,1,0,1,1,0,0,0,0,0,5117,0,5772,6380,2797,5117,0,5772,6380,2797,9728,5865,1063,1582,1076,0,0,0,320,0,26029,28317,10899,7060,2740,0,0,0,0,0,12,17,2,29,25,130,407,147,844,162,18309,17497,17455,9885,6143,49,43,0,55,0,4,13,9,8,13,20,27,26,29,25,,,,,,,,,,
DRX,44376,WIN,kingen,Pyosik,Zeka,Deft,BeryL,TOP,JUNGLE,MID,ADC,SUPPORT,17,15,17,17,14,4,3,4,8,0,0,1,2,2,2,10,8,4,10,12,Perfect KDA,11,4,9,6,275,158,299,289,45,24,115,26,29,0,,,,,,8.7,5,9.5,9.2,1.4,14212,11644,14027,16021,9606,451,370,445,509,305,21.7%,17.8%,21.4%,24.5%,14.7%,37,64,20,69,79,12,11,6,15,39,9,25,4,16,10,8,17,4,4,10,8,9,4,4,9,1.17,2.03,0.63,2.19,2.51,0.38,0.35,0.19,0.48,1.24,0.25,0.54,0.13,0.13,0.32,0.29,0.79,0.13,0.51,0.32,13.8%,23.8%,7.4%,25.7%,29.4%,21125,11963,15953,22927,21139,21071,10620,947,19110,944,0,835,14640,3615,19185,54,508,366,202,1010,671,380,506,728,671,22.7%,12.8%,17.1%,24.6%,22.7%,0.44,0.35,0.25,0.57,0.38,73.7%,57.9%,42.1%,94.7%,63.2%,1,,,,,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1083,567,-509,279,556,11,27,-2,1,-3,761,850,-191,446,-30,0,1,0,0,0,0,0,0,0,0,5363,2330,6788,2424,3543,5363,2330,6788,2424,3543,15642,12073,5996,2029,1413,0,0,0,489,0,33590,16304,21063,6874,3963,0,0,0,0,0,18,14,18,53,27,372,157,481,880,130,25656,22907,26831,10731,10519,0,21,76,31,37,10,9,5,5,12,27,26,23,27,27,,,,,,,,,,
DRX,44378,LOSS,kingen,Pyosik,Zeka,Deft,BeryL,TOP,JUNGLE,MID,ADC,SUPPORT,15,14,17,16,12,0,1,0,1,1,5,4,2,1,3,2,2,2,0,1,0.4,0.8,1,1,0.7,201,208,350,354,15,5,131,25,50,0,,,,,,5.9,6.1,10.3,10.4,0.4,9505,10720,13244,14014,7205,279,314,388,411,211,17.4%,19.6%,24.2%,25.6%,13.2%,20,138,35,30,77,9,61,20,14,57,4,47,9,4,13,4,14,9,4,17,4,12,9,3,16,0.59,4.04,1.03,0.88,2.26,0.26,1.79,0.59,0.41,1.67,0.12,0.41,0.26,0.12,0.5,0.12,1.38,0.26,0.12,0.38,6.7%,46%,11.7%,10%,25.7%,16337,10674,14641,18381,4016,1209,9149,983,15834,479,15128,833,13658,1122,3031,0,692,0,1425,506,479,313,429,539,118,25.5%,16.7%,22.9%,28.7%,6.3%,0.06,0.09,0.06,0.03,0.06,66.7%,100%,66.7%,33.3%,66.7%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-651,76,643,823,935,-28,3,20,30,-3,-1215,-42,314,568,161,-1,0,0,0,0,0,0,0,0,0,1141,654,2636,2764,902,1141,654,2636,2764,902,6999,8513,326,0,873,0,0,0,0,0,26118,16405,8141,14965,5345,0,0,0,0,5184,78,16,7,12,20,1541,435,259,175,211,26850,23310,11627,5900,11191,185,119,45,0,71,6,14,11,7,20,24,31,25,24,34,,,,,,,,,,
Gen.G eSports,44380,WIN,Doran,Peanut,Chovy,Ruler,Lehends,TOP,JUNGLE,MID,ADC,SUPPORT,15,14,16,14,11,1,6,6,6,2,2,0,3,1,1,7,8,4,7,13,4,Perfect KDA,3.3,13,15,178,200,260,265,8,0,164,18,16,0,,,,,,6.8,7.6,9.9,10.1,0.3,9474,12441,12373,14161,7391,362,475,473,541,282,17%,22.3%,22.2%,25.4%,13.2%,20,100,29,31,51,8,36,8,12,29,2,25,3,8,5,3,5,3,7,12,3,5,2,5,12,0.76,3.82,1.11,1.18,1.95,0.31,1.38,0.31,0.46,1.11,0.11,0.19,0.11,0.27,0.46,0.08,0.96,0.11,0.31,0.19,8.7%,43.3%,12.6%,13.4%,22.1%,12540,20686,16880,25346,4911,2001,18153,1115,15323,751,10539,1592,15765,8877,3530,0,941,0,1146,630,479,791,645,969,188,15.6%,25.7%,21%,31.5%,6.1%,0.31,0.54,0.38,0.5,0.57,38.1%,66.7%,47.6%,61.9%,71.4%,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1014,1493,-124,1647,844,-24,31,11,23,-16,-379,1035,76,897,-275,-1,1,0,1,0,0,0,0,0,0,5150,3104,2346,5141,756,5150,3104,2346,5141,756,11029,12896,1440,1381,5110,0,0,0,0,3302,25294,16567,14592,5222,3709,0,0,0,0,966,37,29,1,2,23,640,589,84,42,147,24617,19420,18256,8913,6438,47,0,127,16,28,5,5,5,11,14,20,21,25,29,23,,,,,,,,,,
Gen.G eSports,44382,WIN,Doran,Peanut,Chovy,Ruler,Lehends,TOP,JUNGLE,MID,ADC,SUPPORT,15,13,16,14,11,2,2,1,7,1,1,0,0,1,0,5,6,2,3,11,7,Perfect KDA,Perfect KDA,10,Perfect KDA,207,189,292,242,5,8,155,20,13,0,,,,,,8.2,7.5,11.6,9.6,0.2,9813,10566,12218,15219,6983,390,420,485,604,277,17.9%,19.3%,22.3%,27.8%,12.7%,26,74,29,33,68,11,32,7,12,34,5,22,10,9,5,8,5,4,4,11,7,5,4,4,11,1.03,2.94,1.15,1.31,2.7,0.44,1.27,0.28,0.48,1.35,0.32,0.2,0.16,0.16,0.44,0.2,0.87,0.4,0.36,0.2,11.3%,32.2%,12.6%,14.3%,29.6%,10414,13011,10113,21287,3906,1066,11622,0,12676,503,9348,1145,9565,7237,3403,0,244,548,1374,0,414,517,402,845,155,17.7%,22.2%,17.2%,36.2%,6.7%,0.28,0.32,0.12,0.4,0.48,53.8%,61.5%,23.1%,76.9%,92.3%,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,1130,521,3540,477,27,8,8,52,-11,1129,484,307,1908,86,1,1,0,2,0,0,0,0,0,0,1754,2433,2895,11364,586,1754,2433,2895,11364,586,7151,12179,1652,49,5957,0,0,0,0,4393,20671,14168,7953,4853,2438,0,0,0,0,1336,43,11,18,2,16,916,349,463,18,100,20352,19805,12554,9457,4914,41,0,0,42,0,9,5,5,8,13,25,21,22,26,24,,,,,,,,,,
Gen.G eSports,44384,WIN,Doran,Peanut,Chovy,Ruler,Lehends,TOP,JUNGLE,MID,ADC,SUPPORT,15,13,15,14,11,1,2,6,5,1,3,0,0,1,2,4,7,1,10,9,1.7,Perfect KDA,Perfect KDA,15,5,226,150,249,227,14,13,132,11,8,0,,,,,,8.3,5.5,9.1,8.3,0.5,10109,9361,12342,12474,6930,370,343,452,457,254,19.7%,18.3%,24.1%,24.4%,13.5%,24,41,30,33,84,7,12,6,13,46,4,10,10,6,8,4,9,4,7,11,4,9,3,5,11,0.88,1.5,1.1,1.21,3.08,0.26,0.44,0.22,0.48,1.68,0.15,0.33,0.15,0.26,0.4,0.15,0.37,0.37,0.22,0.29,11.3%,19.3%,14.2%,15.6%,39.6%,6244,7691,20569,21320,5321,5644,5368,49,18424,880,600,1715,20520,2193,2670,0,608,0,703,1771,229,282,753,780,195,10.2%,12.6%,33.6%,34.9%,8.7%,0.18,0.33,0.26,0.55,0.37,33.3%,60%,46.7%,100%,66.7%,,,,1,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1616,516,197,1039,-89,6,22,19,4,-19,17,479,159,495,-162,0,1,0,1,-1,0,0,0,0,0,2470,1000,919,7862,259,2470,1000,919,7862,259,6273,20463,8818,2416,1402,0,0,0,433,301,22422,19987,14631,10164,11681,0,0,0,0,4937,7,24,25,13,15,33,384,396,135,147,21696,26451,19541,7974,10296,106,0,0,14,21,5,10,5,9,12,17,22,21,23,22,,,,,,,,,,
DWG KIA,44385,LOSS,Nuguri,Canyon,ShowMaker,deokdam,Kellin,TOP,JUNGLE,MID,ADC,SUPPORT,15,13,16,15,12,1,0,6,10,0,8,6,1,5,8,2,10,5,4,8,0.4,1.7,11,2.8,1,248,113,239,291,33,56,99,16,31,0,,,,,,7.3,3.3,7,8.5,1,11541,8482,13486,18322,7366,339,249,396,538,216,19.5%,14.3%,22.8%,31%,12.4%,37,51,57,28,87,11,14,29,10,58,5,12,12,6,10,7,13,10,2,20,7,12,8,1,19,1.09,1.5,1.67,0.82,2.56,0.32,0.41,0.85,0.29,1.7,0.21,0.38,0.29,0.06,0.59,0.15,0.35,0.35,0.18,0.29,14.2%,19.6%,21.9%,10.8%,33.5%,15872,13948,22396,29339,6005,10013,850,2567,26391,1311,5589,12255,19454,1600,3232,270,843,375,1348,1462,466,410,658,862,176,18.1%,15.9%,25.6%,33.5%,6.9%,0.09,0.29,0.32,0.41,0.23,17.6%,58.8%,64.7%,82.4%,47.1%,1,,2,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-634,648,3939,-216,-13,-9,17,35,6,-1335,-818,763,1982,758,-1,-1,1,2,1,0,0,0,0,0,0,0,727,9713,0,0,0,727,9713,0,3386,10877,4737,4966,318,0,1442,0,1058,367,21254,24648,13961,14469,20877,0,0,0,0,724,11,65,22,8,41,103,641,106,143,138,24546,32121,21060,19687,18633,218,159,54,147,203,8,13,12,4,22,30,26,31,23,36,,,,,,,,,,
